  Assembling OpCodes.asm...
OpCodes.asm(7): error A2119: language type must be specified
OpCodes.asm(20): error A2013: .MODEL must precede this directive
OpCodes.asm(21): error A2034: must be in segment block
OpCodes.asm(22): error A2034: must be in segment block
OpCodes.asm(24): error A2034: must be in segment block
OpCodes.asm(25): error A2034: must be in segment block
OpCodes.asm(26): error A2034: must be in segment block
OpCodes.asm(27): error A2034: must be in segment block
OpCodes.asm(28): error A2034: must be in segment block
OpCodes.asm(29): error A2034: must be in segment block
OpCodes.asm(30): error A2034: must be in segment block
OpCodes.asm(31): error A2034: must be in segment block
OpCodes.asm(32): error A2034: must be in segment block
OpCodes.asm(33): error A2034: must be in segment block
OpCodes.asm(34): error A2034: must be in segment block
OpCodes.asm(35): error A2034: must be in segment block
OpCodes.asm(37): error A2013: .MODEL must precede this directive
OpCodes.asm(40): error A2013: .MODEL must precede this directive
OpCodes.asm(43): error A2013: .MODEL must precede this directive
OpCodes.asm(44): error A2034: must be in segment block
OpCodes.asm(45): error A2034: must be in segment block
OpCodes.asm(46): error A2034: must be in segment block
OpCodes.asm(50): error A2034: must be in segment block
OpCodes.asm(51): error A2034: must be in segment block
OpCodes.asm(52): error A2034: must be in segment block
OpCodes.asm(53): error A2034: must be in segment block
OpCodes.asm(54): error A2034: must be in segment block
OpCodes.asm(55): error A2034: must be in segment block
OpCodes.asm(56): error A2034: must be in segment block
OpCodes.asm(57): error A2034: must be in segment block
OpCodes.asm(58): error A2034: must be in segment block
OpCodes.asm(59): error A2034: must be in segment block
OpCodes.asm(60): error A2034: must be in segment block
OpCodes.asm(61): error A2034: must be in segment block
OpCodes.asm(62): error A2034: must be in segment block
OpCodes.asm(64): error A2034: must be in segment block
OpCodes.asm(65): error A2034: must be in segment block
OpCodes.asm(66): error A2034: must be in segment block
OpCodes.asm(68): error A2034: must be in segment block
OpCodes.asm(69): error A2034: must be in segment block
OpCodes.asm(70): error A2034: must be in segment block
OpCodes.asm(71): error A2034: must be in segment block
OpCodes.asm(72): error A2034: must be in segment block
OpCodes.asm(73): error A2034: must be in segment block
OpCodes.asm(74): error A2034: must be in segment block
OpCodes.asm(75): error A2034: must be in segment block
OpCodes.asm(76): error A2034: must be in segment block
OpCodes.asm(78): error A2034: must be in segment block
OpCodes.asm(79): error A2034: must be in segment block
OpCodes.asm(80): error A2034: must be in segment block
OpCodes.asm(81): error A2034: must be in segment block
OpCodes.asm(82): error A2034: must be in segment block
OpCodes.asm(84): error A2034: must be in segment block
OpCodes.asm(86): error A2034: must be in segment block
OpCodes.asm(87): error A2034: must be in segment block
OpCodes.asm(88): error A2034: must be in segment block
OpCodes.asm(89): error A2034: must be in segment block
OpCodes.asm(90): error A2034: must be in segment block
OpCodes.asm(91): error A2034: must be in segment block
OpCodes.asm(92): error A2034: must be in segment block
OpCodes.asm(93): error A2034: must be in segment block
OpCodes.asm(95): error A2034: must be in segment block
OpCodes.asm(96): error A2034: must be in segment block
OpCodes.asm(97): error A2034: must be in segment block
OpCodes.asm(98): error A2034: must be in segment block
OpCodes.asm(99): error A2034: must be in segment block
OpCodes.asm(101): error A2034: must be in segment block
OpCodes.asm(102): error A2034: must be in segment block
OpCodes.asm(103): error A2034: must be in segment block
OpCodes.asm(104): error A2034: must be in segment block
OpCodes.asm(105): error A2034: must be in segment block
OpCodes.asm(106): error A2034: must be in segment block
OpCodes.asm(107): error A2034: must be in segment block
OpCodes.asm(108): error A2034: must be in segment block
OpCodes.asm(110): error A2034: must be in segment block
OpCodes.asm(111): error A2034: must be in segment block
OpCodes.asm(112): error A2034: must be in segment block
OpCodes.asm(113): error A2034: must be in segment block
OpCodes.asm(115): error A2034: must be in segment block
OpCodes.asm(116): error A2034: must be in segment block
OpCodes.asm(117): error A2034: must be in segment block
OpCodes.asm(118): error A2034: must be in segment block
OpCodes.asm(120): error A2034: must be in segment block
OpCodes.asm(121): error A2034: must be in segment block
OpCodes.asm(122): error A2034: must be in segment block
OpCodes.asm(123): error A2034: must be in segment block
OpCodes.asm(124): error A2034: must be in segment block
OpCodes.asm(126): error A2034: must be in segment block
OpCodes.asm(127): error A2034: must be in segment block
OpCodes.asm(128): error A2034: must be in segment block
OpCodes.asm(130): error A2034: must be in segment block
OpCodes.asm(131): error A2034: must be in segment block
OpCodes.asm(132): error A2034: must be in segment block
OpCodes.asm(133): error A2034: must be in segment block
OpCodes.asm(135): error A2034: must be in segment block
OpCodes.asm(136): error A2034: must be in segment block
OpCodes.asm(140): error A2034: must be in segment block
OpCodes.asm(141): error A2034: must be in segment block
OpCodes.asm(142): error A2034: must be in segment block
OpCodes.asm(144): error A2034: must be in segment block
OpCodes.asm(145): fatal error A1012: error count exceeds 100; stopping assembly
C:\Program Files (x86)\Microsoft Visual Studio\2017\Community\Common7\IDE\VC\VCTargets\BuildCustomizations\masm.targets(50,5): error MSB3721: The command "ml.exe /c /nologo /Zi /Fo"Debug\OpCodes.obj" /W3 /errorReport:prompt  /TaOpCodes.asm" exited with code 1.
